Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,volatility_1h_30d,volume_to_marketcap,circulating_to_total_supply,momentum_diff_7d_30d
65.0,Bitget Token,BGB,0.43178241642553783,-0.1,-0.5,2.2,26.2,18555030.0,1400001000.0,2000000000.0,751366014.0,26.3,0.02469506160016442,0.7000005,-24.0
66.0,EOS,EOS,0.5068176023684519,0.2,-5.2,-7.5,17.1,143253351.0,1128814640.0,250000000.0,747701037.0,16.900000000000002,0.19159175112926852,4.51525856,-24.6
67.0,NEO,NEO,2.4379897300002487,0.0,-4.1,-11.1,39.4,71702628.0,70530000.0,100000000.0,737334727.0,39.4,0.0972456950342446,0.7053,-50.5
68.0,Decentraland,MANA,0.3293037471426004,0.3,-3.6,-10.9,28.7,76455578.0,1846989999.0,2190000000.0,727276330.0,28.4,0.10512589898257792,0.8433744287671233,-39.6
69.0,USDD,USDD,0.6931471805599453,0.1,0.0,-0.2,-0.4,52709280.0,725332026.0,250000000.0,722016186.0,-0.5,0.07300290633650698,2.901328104,0.2
70.0,KuCoin,KCS,2.127040520479115,0.3,2.7,22.3,63.4,305244.0,96732986.0,144000000.0,713536051.0,63.1,0.00042779057844689053,0.6717568472222222,-41.099999999999994
71.0,Tezos,XTZ,0.5766133643039938,0.5,-4.9,-9.4,16.2,39672111.0,891685800.0,982000000.0,697688139.0,15.7,0.05686224085285761,0.9080303462321793,-25.6
72.0,Kava,KAVA,0.5423242908253616,0.2,-2.9,-10.9,21.5,15416391.0,955123860.0,955000000.0,692555026.0,21.3,0.022260167670777976,1.0001296963350785,-32.4
73.0,XDC Network,XDC,0.04879016416943201,0.1,-2.5,-3.9,3.0,14086676.0,13879047556.0,37900000000.0,683675610.0,2.9,0.020604327248122833,0.36620178248021107,-6.9
74.0,First Digital USD,FDUSD,0.6931471805599453,0.4,-1.6,-0.2,-0.4,308208163.0,679938968.0,680000000.0,677957072.0,-0.8,0.454613095325894,0.9999102470588235,0.2
75.0,Frax,FRAX,0.6931471805599453,0.1,-0.2,0.0,-0.1,16908853.0,670673781.0,671000000.0,668594922.0,-0.2,0.025290130755734337,0.9995138315946349,0.1
76.0,GALA,GALA,0.019802627296179712,0.4,-7.6,-0.5,68.4,464949376.1715036,28064109097.0,28100000000.0,657956871.0,68.0,0.7066563123884507,0.9987227436654804,-68.9
77.0,Klaytn,KLAY,0.173953307123438,-1.8,8.4,14.9,55.3,37282005.0,3271052184.0,250000000.0,633012159.0,57.099999999999994,0.05889619096558302,13.084208736,-40.4
78.0,Pyth Network,PYTH,0.35065687161316933,5.4,25.8,-1.9,14.1,182645148.0,1500000000.0,10000000000.0,624040526.0,8.7,0.29268154933899276,0.15,-16.0
79.0,Mina Protocol,MINA,0.4762341789963716,-0.2,-4.2,-0.4,44.1,30911301.0,1005962475.0,1100000000.0,613637583.0,44.300000000000004,0.050373871901519436,0.9145113409090909,-44.5
80.0,dYdX,ETHDYDX,1.47932922708708,-0.5,12.7,-17.4,65.2,464949376.1715036,180263183.0,1000000000.0,611927904.0,65.7,0.7598107115760873,0.180263183,-82.6
81.0,Radix,XRD,0.058268908123975775,0.1,10.0,31.2,36.4,4720693.0,10305310076.0,12700000000.0,594573578.0,36.3,0.007939627952993229,0.8114417382677165,-5.199999999999999
82.0,Illuvium,ILV,4.596028528070808,1.3,0.7,7.5,140.7,44179670.0,6054182.0,9610000.0,593859683.0,139.39999999999998,0.07439412249172672,0.6299877211238294,-133.2
83.0,Frax Ether,FRXETH,7.606964050920678,0.0,0.9,0.7,20.5,1636206.0,293311.0,293000.0,589714024.0,20.5,0.0027745753592592196,1.001061433447099,-19.8
84.0,Tokenize Xchange,TKX,2.1114245875328868,0.2,-0.3,7.5,33.2,11118952.0,79996000.0,100000000.0,581063456.0,33.0,0.019135521060887367,0.79996,-25.700000000000003
85.0,Gate,GT,1.6544112780768316,0.1,-0.1,2.0,11.7,1844147.0,136232297.0,300000000.0,576366923.0,11.6,0.0031996058871685113,0.4541076566666667,-9.7
86.0,Cheelee,CHEEL,2.4458192610799534,0.1,0.5,4.1,13.6,4901555.0,53838100.0,1000000000.0,566375017.0,13.5,0.008654257078574494,0.0538381,-9.5
87.0,WEMIX,WEMIX,1.007957920399979,-0.2,-2.1,-2.7,70.3,4792920.0,325164508.0,978000000.0,565201516.0,70.5,0.00848001971742765,0.33247904703476483,-73.0
88.0,Blur,BLUR,0.412109650826833,10.6,36.4,43.2,175.4,296654526.0,1097706662.0,3000000000.0,557830938.0,164.8,0.5318000594653285,0.36590222066666667,-132.2
89.0,Fetch.ai,FET,0.4252677354043441,0.7,2.9,27.9,124.9,231395614.0,1043462805.0,1150000000.0,554167062.0,124.2,0.4175556973106424,0.9073589608695652,-97.0
90.0,PancakeSwap,CAKE,1.2119409739751128,0.4,-9.1,-11.6,105.5,218610934.0,234093308.0,390000000.0,551222280.0,105.1,0.3965930658680923,0.6002392512820512,-117.1
91.0,eCash,XEC,0.23901690047049992,0.2,-3.6,-8.9,3.0,5746712.0,19558792173093.0,250000000.0,547827392.0,2.8,0.010490004851747172,78235.168692372,-11.9
92.0,Rocket Pool,RPL,3.349202086543775,1.5,3.0,-4.6,34.4,4951292.0,19842347.0,19800000.0,543831667.0,32.9,0.009104456949543543,1.0021387373737374,-39.0
